,Description,City,Category,Payment Information,Paid,Header,Date,Time
42,"October 29 in Podrum Pristanište, at 16:00, the action ""Return of Names"" will begin in Montenegro.

On the eve of the Day of Remembrance of Victims of Political Repressions, the “Return of Names” campaign is held throughout Russia and abroad every year.

The whole day, replacing each other, people read the names of the repressed - first name, patronymic, last name, age, profession, sentence.

The action was conceived in the Memorial Society, which recently received the Nobel Peace Prize, but from the very beginning and to this day, it has been held by volunteers in many cities.

2022 is the year of a new catastrophe and new victims. However, we are sure that ""The Return of Names"" has a meaning even today.

After all, this action reminds of the most important, unconditional principle: there is nothing more valuable than human life, which means that the state has no right to kill people. Neither in 1937 nor in 2022. And the more people agree with this, the more likely it is that the catastrophe will be stopped and prevented in the future.

In this regard, we invite you on October 29 to Podrum Pristanište, where at 16:00 the “Return of Names” action in Montenegro will begin.

Event: https://fb.me/e/2ZHgjNS7K

We will read out the names of people who were repressed in the Soviet Union, but who had something to do with Yugoslavia. At the same time, according to tradition, each participant in the action, in addition to the name given to him / her, can also read out the names of their relatives and friends who suffered during the terror.",,,,False,"October 29 in Podrum Pristanište, at 16:00, the action ""Return of Names"" will begin in Montenegro.",11/13/2022,16:00
43,"Boou!! 👻
HALLOWEEN PARTY in Ruzmarin 🎃

The most merry of all terrible and the most terrible of all merry holidays in the world is approaching!
It's HALLOWEEN PARTY friends! ❤️‍🔥
On October 30, Ruzmarin restaurant will turn into a real witch's house for one night.
It will be overgrown with cobwebs, pumpkins, bats and all the most terrible that you can imagine.

This evening you will find:

🎃welcome-drink, for all guests in themed costumes
🎃 area with face painting (will be waiting for you from 19:00)
🎃Thematic compliment from the chef
🎃Extremely delicious cocktails
🎃Karaoke, dancing and fun
🎃Insidious Contests

A party for everyone who knows a lot about fun to the point of horror!
Table reservations:
WA (+382) 68 06 07 07 🌿
Budva, Tre Canne",Budva,2,,False,Boou!!,11/13/2022,19:00
44,"Art lecture ""Henri Matisse: the power of color""

On November 1, we invite you to an atmospheric lecture over a glass 🍷 at the Jadran restaurant

During the lecture we will discuss:
🎨What is Fauvism and why did Matisse's painting change the art of the 20th century?
🎨How love stories and Matisse's work are connected.
🎨Why did the lawyer Matisse decide to change his profession?

🎓 Speaker: Sofya Aksenova, art critic, graduate of Moscow State University, researcher at the Tretyakov Gallery
📍 Location: Jadran restaurant in Herceg Novi
⏰ When: November 1 at 19:00
💶 Participation fee: 15€
(We treat all guests with drinks of their choice)

💌 Seats are limited!
Pre-registration required: TG @Anna_Goncharova365, or Whats App number
+380978662612

See you on a date with art 🥂",Herceg Novi,9,15 €,True,"Art lecture ""Henri Matisse: the power of color""

On November 1, we invite you to an atmospheric lecture over a glass 🍷 at the Jadran restaurant

During the lecture we will discuss:
🎨What is Fauvism and why did Matisse's painting change the art of the 20th century?",11/01/2022,19:00
45,"🇲🇪 28.10 at 18:00 we invite you to a KARAOKE PARTY in the style of ""HALLOWEEN"". At the party you will find your favorite songs, contests and prizes. It will be fun, come and have a holiday in a beautiful place and a fun company 😁 We are waiting for you at the X atelier restaurant, BUDVA Zrtva Fasizma 13. Tel +38269195787",Budva,2,,False,"🇲🇪 28.10 at 18:00 we invite you to a KARAOKE PARTY in the style of ""HALLOWEEN"".",11/28/2022,18:00
46,"Blue Cat - Art cafe-bar in the heart of the old town of Budva with a beautiful view.

We invite everyone to look into this cozy place💫.

Waiting for you:
- Good music🎶
- Nice and atmospheric environment💃
- Affectionate, local cats🐈‍⬛
- Exclusive COCKTAILS from the bartender!🍹

We work for you every day from 14:00 to 00:00 on weekends, on weekdays until 23:00.

On Friday 28.10 there is a promotion: from 21:00 to 22:00 - 20% for the second cocktail per person.

Talk to the waiter about the action!

Our Instagram: https://instagram.com/bluecatartcafe?igshid=YmMyMTA2M2Y=",Budva,2,,False,Blue Cat - Art cafe-bar in the heart of the old town of Budva with a beautiful view.,11/13/2022,14:00
47,"October 30, 2022
AT 18:00
At the CIC of Moscow in Podgorica
(Moskovskaya 67),

Nadezhda Artamonova (violin)
and Alexei Kurbatov (composer, pianist)
will perform with the program ""Emigrant Composers""

Music in exile. What is she? How did the composers feel, forced to leave their homeland and build their lives in a new place? Which of them was happy and successful in a foreign land, and who returned to his native country? Do contemporary emigrants write music?

The program includes works by Rachmaninov, Prokofiev, Medtner, Stravinsky, as well as music written a few months ago right here in Montenegro!

Seat reservation by phone +38267443799",Podgorica,4,,False,"October 30, 2022
AT 18:00
At the CIC of Moscow in Podgorica
(Moskovskaya 67),

Nadezhda Artamonova (violin)
and Alexei Kurbatov (composer, pianist)
will perform with the program ""Emigrant Composers""

Music in exile.",10/30/2022,18:00
48,"🍁Autumn tour to Durmitor mountains.
We are going to the Mountains to enjoy the golden autumn, in a comfortable minibus, with a professional photographer, and therefore photo shoots! We are waiting for the incredible beauty of the Durmitor National Park with visits to interesting places along the way: the canyon of the Moraca River, the bridge of Dzhurdzhevich, Zabljak, the Black Lake, Cape Churevac (Ćurevac), and of course that amazing mountain road to Lake Piva, which is breathtaking.

This tour will be remembered for a lifetime, it will help you reboot and get a boost of energy! We will spend the evenings in a pleasant atmosphere, playing board games, socializing, campfire, music, listening to the enchanting melodies of space hang.
Throughout the tour we will have a photo-videographer with a drone.

The tour includes:

🏞️ Visit amazing places
🏡 Accommodation in a cozy house with mountain views
🥭 Healthy breakfasts
📸 Photo and video shooting for the tour participants and memorable shots from the trip.

Tour cost: 100 euros for 3 days of adventure. Children discount.

Details and entry: @vital_travel",Kotor,7,100 €,True,🍁Autumn tour to Durmitor mountains.,,
49,"We invite children from 4 to 7 years old and their parents to the play ""Looking for Friends"". A puppet show about how bad it is to be alone and how important it is to have friends.
October 23, at 11:00.
Address: Budva, Zavala, Harmonia by Dukley hotel
Price: 15e (child + adult)
Duration 50 min.
Compulsory booking by phone. +38269740077 (WA, Vib, Tel)",Budva,4,,False,"We invite children from 4 to 7 years old and their parents to the play ""Looking for Friends"".",10/23/2022,11:00
50,"Open heArt Studio invites you to a warm evening in the company of the Two Yegors group and Ekaterina Yashnikova.

""Dva Egora"" (https://instagram.com/dva_egora) is a fireworks group that can make you laugh at your extra pounds and cry, feeling how other people's memories are woven into your own life, reminding you of the mistakes of the past. The harmony of acoustic guitar, flute and velvety voice, insinuatingly singing about such a simple and understandable.

Ekaterina Yashnikova (https://instagram.com/kanokayanshi) is a girl with a guitar and huge ambitions, whose ironic and tender songs are quoted on the Internet and help to warm up on especially cold nights. Her concerts are always an atmosphere of home comfort, which you want to return to, because you know that you are welcome here, and everything that is sung in the songs is also about you.

Their joint concert promises to be warm, emotional and honest. Come see.)

📍Saturday, November 5, 20:00
Art Studio ""Open HeArt""
Entrance: 10€

Buy tickets in advance from @liya_flow",Bar,4,10 €,True,Open heArt Studio invites you to a warm evening in the company of the Two Yegors group and Ekaterina Yashnikova.,11/05/2022,20:00
51,"On October 24-28, the Adriatic CRAFT Center for Additional Education will hold a creative Craft Camp for two groups of 7-11 and 12-17 years old.

The camp will be held in partnership with the Hip-Hop Academy - so all participants will be able to improve their skills in graffiti and street art, and the younger group will do breaking daily in the morning.

Children from the senior group will get acquainted with creative professions and, if desired, will be able to stay on the royal night - an unforgettable party with an overnight stay at school.

Details and registration:

https://forms.gle/F92FVXyx1i3rzrWJA - senior group

https://forms.gle/HDk5e5BFYQaazW4b8 - junior group

contacts @ekaterinashmeleva1 (tg), +382068755452",,4,,False,"On October 24-28, the Adriatic CRAFT Center for Additional Education will hold a creative Craft Camp for two groups of 7-11 and 12-17 years old.",,
52,"This Saturday we are again looking for the mafia in the restaurant ATOS 2.0 | Budva

Host - @TavernaDraga
Reservation - @strelchinin

Start at 19:00
Entry 10€
Drink as a gift

Come, it will be very atmospheric!

Reserve, map and menu - https://taplink.cc/restaurant_atos
___________________________

📍 Budva, Mainski put 67- Restaurant ""ATOS 2.0""",Budva,4,10 €,True,"This Saturday we are again looking for the mafia in the restaurant ATOS 2.0 | Budva

Host - @TavernaDraga
Reservation - @strelchinin

Start at 19:00
Entry 10€
Drink as a gift

Come, it will be very atmospheric!",11/13/2022,19:00
53,FRIDAY KARAOKE PARTY is waiting for you from 19:00 in the restaurant X atelier BUDVA Zrtva Fasizma 13 Tel +38269195787,Budva,2,,False,FRIDAY KARAOKE PARTY is waiting for you from 19:00 in the restaurant X atelier BUDVA Zrtva Fasizma 13 Tel +38269195787,11/13/2022,19:00
54,"BUDVA 🇲🇪

ART - PARTY 🎉

Would you like to spend your Sunday in style and interesting? Then you to us 😉. We invite you to ART PARTY🎉

Program :

🔥 You are waiting for 3 hours of creative reboot in the restaurant, cozy company, stylish rest!

🔥 Professional canvases, all material, inventory! We will use GOLD and a palette knife!

🔥 A glass of wine and snacks from the restaurant!

🔥 Professional photographer!

📍October 23 - SUNDAY, starting at 14:00!
📍Price 55 €, all inclusive!
📍No experience or skills needed, everyone can do it! We have a large selection of different paintings for you 👌

WAITING FOR YOU 🥳

Telegram : @art_mont

Instagram : http://instagram.com/ru_art_monte",Budva,4,55 €,True,"BUDVA 🇲🇪

ART - PARTY 🎉

Would you like to spend your Sunday in style and interesting?",11/13/2022,14:00
55,"On Saturday there will be a transformational game of self-discovery Leela Chakra, where you can connect with yourself, your subconscious🦋

During the game, you will literally see how to achieve your goal and desire, and what is in the way. The clarity “in which sphere to move? how to increase income? how to create a harmonious relationship? how to find yourself? how to scale a business? and others

📍Budva, location to be confirmed
⏰ 13:00

Who leads:
Basistova Victoria, energy coach, author of transformational programs, author of the quest ""laboratory of sensitivity"", cosmoenergy, ICF coach, conducted more than 200 Leela games

Write to private messages🕊 @vitch369",Budva,3,,False,"On Saturday there will be a transformational game of self-discovery Leela Chakra, where you can connect with yourself, your subconscious🦋

During the game, you will literally see how to achieve your goal and desire, and what is in the way.",11/13/2022,13:00
56,"On October 29, Lume and Oak Leaf Residences change the rules of traditional Halloween and create an amazing mystical journey ""Mystery Of Montenegro"" in the heart of the Budva Riviera. Guests will have at their disposal part of Oak Leaf Residences, a five-star hotel consisting of five luxurious deluxe sea-view villas with private pools and spacious outdoor areas that offer stunning panoramic views of the entire Budva Riviera and mountain range.

Everything is hidden under the mask of ""intrigue"", but it is known for sure that we have three locations at our disposal, with an impressive panoramic view of the Adriatic, a unique natural landscape, where we will meet the sunset together with bright musical sets and immerse ourselves in the night atmosphere of our ball - Mystery of Montenegro .

Get your masks ready, ladies and gentlemen.

Dress code: masquarade

See @elinaabell or www.oakleafhalloween.com for details.",Budva,2,,False,"On October 29, Lume and Oak Leaf Residences change the rules of traditional Halloween and create an amazing mystical journey ""Mystery Of Montenegro"" in the heart of the Budva Riviera.",10/29/2022,00:00
57,"We open the winter season of field role-playing games in Budva!

INFORMATION

""Petersburg fairy tales. House on the edge of the forest"" will be held on the eve of Samhain:

29.10.2022

* 17:00 gathering of guests
* 18:00 game start
* 00:00 post-game communication and celebration

Number of players: 15+

Participation: 5€

ABOUT FAIRY TALES

PRI is based on the cycle of urban legends ""Petersburg Tales"" and the tabletop role-playing game of the same name.

REGULATIONS
https://telegra.ph/PRI-Peterburgskie-skazki-Dom-na-krayu-lesa-10-10

Sign up for the game: @LARPdarkFairytales_bot",Budva,,5 €,True,We open the winter season of field role-playing games in Budva!,11/13/2022,17:00
58,"📣 We invite you to Podrum Pristanište, where the concert of Sansara will take place on October 21!

🔹 Sansara have released over a dozen albums ranging from indie rock to spoken word.

🔹Their tracks are featured in the soundtracks of popular films (“Arrhythmia”), and their videos receive awards at international festivals (Cannes Lions 2022, London International Awards 2022, UK Music Video Awards 2022)

🗓 When: October 21 at 19:00
📍 Where: Podrum Pristanište, Tivat
https://goo.gl/maps/FJgx5pTdKuMNN2aGA

📌 Charitable contribution of 20 euros
Pre-registration - 15 euros!

🔻 You can register 🔻
link: https://pristaniste.timepad.ru/event/2202113/
or
by phone +382 68 585 485

Part of the funds raised at the concert will be used to help refugees and IDPs in Pristanište 💛
We are waiting for you in Podrum this Friday!",Tivat,0,20 €,True,"📣 We invite you to Podrum Pristanište, where the concert of Sansara will take place on October 21!",10/21/2022,19:00
59,"🇲🇪 Exhibition of Montenegrin sculpture by Ina Martinovic **Shaping thoughts **[opens](https://rtcg.me/kultura/kulturna-galaksija/382142/izlozba-skulptura-ine-martinovic-od-sjutra-u-petrovcu.html ) tomorrow, at 19:00, at the Red Commune Memorial Hall in Petrovac.

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",,7,,False,"🇲🇪 Exhibition of Montenegrin sculpture by Ina Martinovic **Shaping thoughts **[opens](https://rtcg.me/kultura/kulturna-galaksija/382142/izlozba-skulptura-ine-martinovic-od-sjutra-u-petrovcu.html ) tomorrow, at 19:00, at the Red Commune Memorial Hall in Petrovac.",11/13/2022,19:00
60,"On October 29, Lume and Oak Leaf Residences change the rules of traditional Halloween and create an amazing mystical journey ""Mystery Of Montenegro"" in the heart of the Budva Riviera. Guests will have at their disposal part of Oak Leaf Residences, a five-star hotel consisting of five luxurious deluxe sea-view villas with private pools and spacious outdoor areas that offer stunning panoramic views of the entire Budva Riviera and mountain range.

Everything is hidden under the mask of ""intrigue"", but it is known for sure that we have three locations at our disposal, with an impressive panoramic view of the Adriatic, a unique natural landscape, where we will meet the sunset together with bright musical sets and immerse ourselves in the night atmosphere of our ball - Mystery of Montenegro .

Get your masks ready, ladies and gentlemen.

Dress code: masquarade

See @elinaabell for details",Budva,2,,False,"On October 29, Lume and Oak Leaf Residences change the rules of traditional Halloween and create an amazing mystical journey ""Mystery Of Montenegro"" in the heart of the Budva Riviera.",10/29/2022,00:00
61,"Additional concert by Denis Alien!

Budva! 05.11.22
Gathering of guests 22.30

Due to the sold-outs, we are happy to announce an additional Show in Budva!

Link to tickets https://www.tixcom.de/?module=event&id=988

Subscribe to https://t.me/StandUpMontenegro
to stay up to date with our Events!

As you know, it is better to buy tickets in advance! They may end again",Budva,2,,False,Additional concert by Denis Alien!,05/11/2022,00:00
62,"On October 29, Lume and Oak Leaf Residences change the rules of traditional Halloween and create an amazing mystical journey ""Mystery Of Montenegro"" in the heart of the Budva Riviera. Guests will have at their disposal part of Oak Leaf Residences, a five-star hotel consisting of five luxurious deluxe sea-view villas with private pools and spacious outdoor areas that offer stunning panoramic views of the entire Budva Riviera and mountain range.

Everything is hidden under the mask of ""intrigue"", but it is known for sure that we have three locations at our disposal, with an impressive panoramic view of the Adriatic, a unique natural landscape, where we will meet the sunset together with bright musical sets and immerse ourselves in the night atmosphere of our ball - Mystery of Montenegro .

Get your masks ready, ladies and gentlemen.

Dress code: masquarade

See @elinaabell for details",Budva,2,,False,"On October 29, Lume and Oak Leaf Residences change the rules of traditional Halloween and create an amazing mystical journey ""Mystery Of Montenegro"" in the heart of the Budva Riviera.",10/29/2022,00:00
63,"BUDVA 🇲🇪

ART - PARTY 🎉

Would you like to spend your Sunday in style and interesting? Then you to us 😉. We invite you to ART PARTY🎉

Program :

🔥 You are waiting for 3 hours of creative reboot in the restaurant, cozy company, stylish rest!

🔥 Professional canvases, all material, inventory! We will use GOLD and a palette knife!

🔥 A glass of wine and snacks from the restaurant!

🔥 Professional photographer!

📍 October 16 - SUNDAY, starting at 14:00!
📍Price 55 €, all inclusive!
📍No experience or skills needed, everyone can do it!

WAITING FOR YOU 🥳

Telegram : @art_mont

Instagram : http://instagram.com/ru_art_monte",Budva,4,55 €,True,"BUDVA 🇲🇪

ART - PARTY 🎉

Would you like to spend your Sunday in style and interesting?",11/13/2022,14:00
64,"🇬🇺🇷🇸🇺🇦 In the capital of Serbia, Belgrade, **November 20**, there will be a free private screening of the film in Russian [**Trauma of a witness.](https://www.tayaclass.me/trauma)**

This film is about people who flee from military Russia and fight for a new future - without a tyrant, wars and fear of being put behind bars because you don't want to go to kill for a bloody regime. With the start of the war, many Russians cannot stop feeling pain and involvement in Russian aggression.

The heroes of this film - Yulia, Kirill, Ilya, Inna, Alevtina - were also forced to flee, despite the fact that their lives were firmly connected with Russia. Each of them, risking never to return to Russia again, talks about big obstacles and small but bold steps through them - into a new life.

Get an invitation ticket to the show in Belgrade [you can follow this link.] (https://tayadream.timepad.ru/event/2197450/)

Watch [movie on YouTube](https://www.youtube.com/watch?v=1gc6adoQgYY)

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Kotor,,,False,"🇬🇺🇷🇸🇺🇦 In the capital of Serbia, Belgrade, **November 20**, there will be a free private screening of the film in Russian [**Trauma of a witness.",11/20/2022,00:00
65,"This Saturday we are again looking for the mafia in the restaurant ATOS 2.0 | Budva

Host - @TavernaDraga
Reservation - @strelchinin

Start at 19:00
Entry 10€
Drink as a gift

Come, it will be very atmospheric!

Reserve, map and menu - https://taplink.cc/restaurant_atos
___________________________

📍 Budva, Mainski put 67- Restaurant ""ATOS 2.0""",Budva,4,10 €,True,"This Saturday we are again looking for the mafia in the restaurant ATOS 2.0 | Budva

Host - @TavernaDraga
Reservation - @strelchinin

Start at 19:00
Entry 10€
Drink as a gift

Come, it will be very atmospheric!",11/13/2022,19:00
66,"Perfect Saturday Leisure - SUP trip to an oyster farm in Boka with the opportunity to see dolphins and sea turtles

""What a thrill! Why didn't I do this before?!""
""What, so it was possible?""
""A great start to the day with oysters and wine, and with such and such a view""

Here's what the participants of our SUP trips to the oyster farm in Boke say.

- Possible with children
- Suitable for beginners
- Fun, beautiful and delicious

The next trip is this Saturday at 13:00 from Orahovets. Book now

Registration through the form (https://supmonte.com/oysterfarm) on the site or in the group (http://t.me/supmonte) in tg",,,,False,"Perfect Saturday Leisure - SUP trip to an oyster farm in Boka with the opportunity to see dolphins and sea turtles

""What a thrill!",11/19/2022,13:00
67,"Gamarjoba, Georgian tea!

Not China alone, as they say 😁
Try something new and make a wish!
This Saturday, in the format of a tea ceremony, we will introduce you to our new Georgian teas

🍵 Green ""Gringold"" (Nepalese technology)
🍵 Kesane Honey Oolong
🍵 Gaba oolong Nagomari (anaerobic fermentation)
🍵 Red Gaba Tsiteli (anaerobic fermentation)
🍵 Bakhmaro, blueberry tea

Participation fee - 7 €

📍Saturday, October 15
📍Start at 18:00
📍Tea & Coffee House Budva
https://maps.app.goo.gl/mg8h2tLBj6mzmJZ86

❗️ The number of places is limited, to register write to:

Telegram: @mujerarana
WhatsApp: +38269916393
https://www.instagram.com/teahousebudva",Budva,,7 €,True,"Gamarjoba, Georgian tea!",11/13/2022,18:00
68,"В начинающей группе АРГЕНТИНСКОГО ТАНГО в [Budva-Tango-Club (Montenegro)](https://www.facebook.com/groups/270952820464078/?__cft__[0]=AZU4fFSZnATGAK2_Ahw4TVYAuRiaR5h2Mtn6GEk5qdQ0OZjS_9CTnbCxs97N9scQBXuUeEjRHF5Gjx54d6TpvD-qxHZRNeCvISGhMRz10cX8hV3Lh_1dUZHZvwyBH5cg33qxICC2gj1btD58yXOCSlbH&__tn__=-UK-R) опять не хватает мужчин ! - We have new partners - lovely wonderful capable girls, and an imbalance has arisen in the beginning group again! - Now we don't have enough men!!!🧔🧔‍👦

We invite - we accept - we invite men to dance the Argentine tango!!! Tango is the warmth of hugs, mutual understanding and soulful music! A great tool for expanding the circle of communication, active pastime in a pleasant company!


☎️+38269283757 (WhatsApp)",Budva,4,,False,В начинающей группе АРГЕНТИНСКОГО ТАНГО в [Budva-Tango-Club (Montenegro)](https://www.facebook.com/groups/270952820464078/?__cft__[0]=AZU4fFSZnATGAK2_Ahw4TVYAuRiaR5h2Mtn6GEk5qdQ0OZjS_9CTnbCxs97N9scQBXuUeEjRHF5Gjx54d6TpvD-qxHZRNeCvISGhMRz10cX8hV3Lh_1dUZHZvwyBH5cg33qxICC2gj1btD58yXOCSlbH&__tn__=-UK-R) опять не хватает мужчин !,,
69,"Summer and holidays are over, but the sun, warmth and cultural creative evenings in Lightland Park, a magical light park🤗, have not ended.
And on 15.10 it will be filled with the sounds of the SAXOPHONE.
There are very few saxophonists in Montenegro. I don't know if there is a saxophone class in some music school. And I really wanted this wonderful instrument to sound in the park too, complementing it with its ""singing"".
I don’t know exactly what compositions Anton Melnikov prepared for us, but I’m sure it will be great🤗.
In the program smooth jazz, sax ballads, evergreens, pop-rock.
Anton is a member of musical projects Dzinko, Tantra Brothers, Jah division Balkan, Montenegro Symphony Orchestra.
We wait! Welcome arrived!
Beginning at 18-30.
Entrance to the park for adults from 17-00 to 20-00-10, taking into account the event (you can listen to the saxophone and warm yourself with mulled wine with fragrant spices, and, of course, relax and take a walk in the park). For children from 7 years old also 5 e.
@Helen_Prof
https://maps.app.goo.gl/SNrvFgQAWb4QN4Dw7",,7,,False,"Summer and holidays are over, but the sun, warmth and cultural creative evenings in Lightland Park, a magical light park🤗, have not ended.",11/13/2022,00:00
70,"If you feel that moving is difficult for you, I invite you to my events as part of a psychological conference this weekend in Budva at the Splendid Hotel.

🌿 October 15, Saturday, 18:30:
The Tree of Life is an art-narrative practice that allows you to update everything that can support you in a difficult period, strengthen your resource state and internal supports.

🌿 October 17, Monday, 16:00:
Adaptation to emigration and PTSD - what can complicate and what can help in this process.

🌿 Admission is free, just come support yourself.

The rest of the conference events can be viewed in the schedule at https://dobromore.eu/ru/node/53",Budva,4,,False,"If you feel that moving is difficult for you, I invite you to my events as part of a psychological conference this weekend in Budva at the Splendid Hotel.",10/15/2022,18:30
71,"🇲🇪 ENGLISH SPEAKING CLUB 🇺🇸🇬🇧🔥
!THURSDAY!(10/12)
Budva
Participation 10€
I invite you to my conversation club, which will take place on Thursday at 18:00
Studio ""House of the Sun"" (I will throw off the location)
For those, who:
understands everything but cannot speak
-has a language barrier
- want to improve their speech
-expand vocabulary

About me: Victoria, translator of 3 foreign languages ​​and English teacher, for 9 years my students have been entering the best foreign universities and getting jobs in international companies🔥

If you want to finally talk, come ❤️

Pre-registration ✅

Recording ⬇️

@anastasia_millers",Budva,,10 €,True,"🇲🇪 ENGLISH SPEAKING CLUB 🇺🇸🇬🇧🔥
!THURSDAY!",11/17/2022,18:00
72,"Double concert at Podrum Pristanište, Tivat ☀️

Friends, we invite you to enjoy a musical evening with us! On Saturday Podrum will host the duet ""Korolev Popova"" and jazz-noir one man band Anton Ripatti 🔝

🔹""Korolyov Popova"" is a duet of Vadik Korolyov from OQJAV and minimalist composer Zhenya Popova (accordion). Author's music and poetry with occasional inclusions of great French songs.

🔹 Anton Ripatti is an itinerant jazz noir one man band, performer and experimenter. For this concert, he promises to forget all his electric instruments and lights in the car and appear as a songwriter.

🗓 When: October 15 at 19:00
🗾 Where: Tivat, Podrum Pristanište
https://goo.gl/maps/FJgx5pTdKuMNN2aGA

📌 Charitable donation: 15 euros

Limited number of seats.
🔻Pre-registration required🔻
https://pristaniste.timepad.ru/event/2198813/

By visiting Podrum this evening, you will not only have a good time, but also help refugees affected by the war. Part of the funds raised at the event will be donated to the Pristanište Foundation 💗

Invite your friends and come yourself! The evening promises to be eventful 🎶",Tivat,2,15 €,True,"Double concert at Podrum Pristanište, Tivat ☀️

Friends, we invite you to enjoy a musical evening with us!",10/15/2022,19:00
73,"We invite you to a master class on experimental and flexing 🔥
A dance meeting for an adult audience who wants to immerse themselves in these unusual and free styles will be held for you by Elena and Sergey - choreographers with more than 15 years of teaching experience 🎗🧘‍♀️🤸‍♂️
Experimental, this is emancipation, maximum immersion in the personal microcosm of each 🪐🌟
Flexing is an opportunity to understand the flexibility and elasticity of your body in the smooth rhythm of electronic music ✨🪘
✅Place: Bar, embankment, horseshoe building, dance hall on the second floor of the Sipa store
✅Time: October 14 (Friday), beginning at 20.15; duration 1.5 hours
✅Cost - 10 euros
We are waiting for all dance lovers, both beginners and pros!)
All additional information (viber, whatsapp, telegram) +38268446702",Bar,2,10 €,True,"We invite you to a master class on experimental and flexing 🔥
A dance meeting for an adult audience who wants to immerse themselves in these unusual and free styles will be held for you by Elena and Sergey - choreographers with more than 15 years of teaching experience 🎗🧘‍♀️🤸‍♂️
Experimental, this is emancipation, maximum immersion in the personal microcosm of each 🪐🌟
Flexing is an opportunity to understand the flexibility and elasticity of your body in the smooth rhythm of electronic music ✨🪘
✅Place: Bar, embankment, horseshoe building, dance hall on the second floor of the Sipa store
✅Time: October 14 (Friday), beginning at 20.15; duration 1.5 hours
✅Cost - 10 euros
We are waiting for all dance lovers, both beginners and pros!)",11/15/2022,00:00
74,"❕Regular events at the CLUB 兀
POSTER

🗣October 13 - conversational English club

The theme of the upcoming meeting is travel. Expected - stories of participants about their most impressive journey and joint viewing of photos from these places on the projector screen.
Start at 19:00. Participation - donation.

🌚October 14 - Animation Night

The KAIBA series is a psychedelic sci-fi, with alternative art, wrapped in a fairy tale plot. The viewing duration is about 4 hours, so there will be pu-erh, ""popcorn"" and the opportunity to reboot in the chill zone.
The Animation Club with @Nika_Vizard is going on vacation, everyone who wants to learn a little more (and Nika knows a lot of interesting things) in this genre is invited to the final session - Animation Night. Discussion and insights, exchange of impressions - after what they saw.
Start at 20:00, end at 00:00+
Participation - 7 euros
18+

Registration for @kiselevastudio events
📍Becici, Acacia",Becici,,7 €,True,"❕Regular events at the CLUB 兀
POSTER

🗣October 13 - conversational English club

The theme of the upcoming meeting is travel.",11/13/2022,19:00
75,"🇲🇪 Peace. Peace and happiness within.

What is needed for this?

I like the idea of ​​constantly learning.
Feel like a student.
Here is this new reality - and you are a student again, learning to live in new realities.

I like studying every day.
I listen to scriptures for an hour a day, catch one thought from a complex text to think / practice today and voila - the happiness of learning for the whole day!

An early rise is a beautiful dawn, the morning energy of the day fills and puts everything in its place. Morning rituals are much more fun with audio recordings of scriptures. And politics has generally gone below the weather forecast) Why watch the weather forecast when you can just look out the window and see the sea, mountains and the sun!

We first found ourselves in this paradise 16 years ago. And they couldn't get away. They cut themselves off and came back again.

But what can you do in paradise? Just walk with a flute and sing) And in order not to get bored, we made the Game and Practice Center ""Happiness Inside"" in Ulcinj, where we invite guests to taste - how it is to live in paradise)

Some stay, some leave, only to come back later.)

Why are people so drawn to hell? Just force of habit and uncertainty, lack of strength to change something.

There is a habit out of habit)
And for me, these are retreats with my own way of life and sowing new habits)

The nearest retreat is a gaming one. Immersion in the spirit of the Game. Spirit of the Game. Beautiful, is not it?

Immerse yourself in the Spirit of the Game and emerge as a different person 🙂

The retreat will take place for a donation. For everyone.

Yes, and if you have children, you can also participate, as it will be held in parallel with the Robinsonade Family Game Program

We start October 15 - October 22.

Montenegro. Ultsin. www.zlataoliva.com/mampap",,4,,False,🇲🇪 Peace.,11/16/2022,00:00
76,"A birthday paper show is a great opportunity to do something that is practically inaccessible in ordinary life. Will mom allow paper to be scattered around the house or on the street? And build her tunnel or house from scraps? And where to get so much paper at the same time? 😅
A bright paper show in Budva from the Smart_bee_party agency is a great opportunity to get an unforgettable atmosphere of funny pranks and reckless fun. 👯‍♂️

The paper show is incredibly exciting, fun and moving. The animator holds contests, performances with paper and, of course, dances in paper snowdrifts. 🥳 This type of entertainment delights not only children, but also adults. It is ideal for celebrating a children's birthday from 4 years old 🎉

Don't know where to spend your child's birthday? Rather write to us 🙌🫶


+38268874550",Budva,2,,False,A birthday paper show is a great opportunity to do something that is practically inaccessible in ordinary life.,11/04/2022,00:00
